City,Price,Area,Location,bhk,Resale,MaintenanceStaff,Gymnasium,SwimmingPool,LandscapedGardens,JoggingTrack,Intercom,ClubHouse,24X7Security,CarParking,WashingMachine,Gasconnection,LiftAvailable
Bangalore,4900000,1187,Begur,2,0,0,1,1,1,1,1,1,1,0,0,0,1
Bangalore,5080000,1270,Bommasandra,2,0,0,1,1,1,1,0,0,1,1,0,0,1
Bangalore,9630000,2293,Kannur on Thanisandra Main Road,3,0,0,1,1,1,1,1,1,1,1,0,0,1
Bangalore,9458000,1726,Hosa Road,3,0,0,1,1,1,1,1,1,1,1,0,0,1
Bangalore,23700000,2470,Sahakar Nagar,4,0,0,1,1,1,1,1,1,1,1,0,1,1
Bangalore,7363000,1570,Kadugodi,3,0,0,1,1,1,1,1,0,1,0,0,0,0
Bangalore,5489000,1120,Jakkur,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangalore,4216000,1506,Jigani,3,0,0,1,1,1,1,0,1,1,1,0,0,0
Bangalore,4368000,1040,Krishnarajapura,2,0,0,0,0,1,1,1,0,1,1,0,0,1
Bangalore,7600000,1150,Brookefield,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangalore,4545000,1045,Horamavu,2,0,0,1,0,0,0,1,0,1,0,0,0,1
Bangalore,23100000,2480,Banashankari,3,0,0,1,1,1,1,1,1,1,1,0,0,1
Bangalore,8000000,1160,RR Nagar,2,0,0,1,1,1,1,1,1,1,1,0,0,1
Bangalore,4514000,1143,RR Nagar,2,0,0,1,1,1,1,1,1,1,1,0,0,1
Bangalore,5460000,1300,RR Nagar,2,1,0,1,1,1,1,1,1,1,1,0,0,1
Bangalore,4414000,966,Nelamangala,2,0,0,1,1,0,0,1,1,0,0,0,0,1
Bangalore,8868000,1245,Begur,2,0,0,0,0,0,0,1,0,1,0,0,0,1
Bangalore,6133000,1275,Ramamurthy Nagar,2,0,0,1,0,0,0,1,0,1,0,0,0,1
Bangalore,3038000,1085,Attibele,2,0,0,1,1,0,1,1,1,1,0,0,0,1
Bangalore,7100000,1286,Nelamangala,3,1,0,1,1,0,0,1,1,0,0,0,0,1
Bangalore,7506999,1155,Banaswadi,2,0,1,1,1,0,1,0,1,1,1,0,0,0
Bangalore,6520000,1304,Whitefield Hope Farm Junction,3,0,0,1,1,1,1,1,1,1,1,0,0,0
Bangalore,6389000,1120,Kodigehalli,2,0,0,0,0,0,0,1,0,1,1,0,0,1
Bangalore,11700000,2017,ITPL,3,0,0,1,1,1,1,1,1,0,1,0,0,1
Bangalore,5600000,1340,Uttarahalli Hobli,3,0,0,0,0,0,0,0,0,0,0,1,1,1
Bangalore,4562000,1304,Electronic City Phase 1,3,0,0,1,1,0,0,1,1,0,0,0,0,1
Bangalore,2951000,649,Ramamurthy Nagar,1,0,0,0,0,0,0,1,0,0,0,0,0,1
Bangalore,4264000,1108,Krishnarajapura,2,0,1,1,1,1,1,1,1,1,1,0,0,0
Bangalore,6698000,1675,Krishnarajapura,3,0,0,0,0,0,0,1,0,0,1,0,0,1
Bangalore,8100000,718,Chikkagubbi on Hennur Main Road,2,0,0,1,1,1,1,0,1,1,1,0,0,1
Bangalore,4500000,1075,Kasavanahalli,2,0,0,1,1,0,0,1,1,0,1,0,1,1
Bangalore,4928000,1120,Varthur,2,0,0,0,0,0,0,0,0,0,0,0,0,1
Bangalore,6100000,1350,Vidyaranyapura,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangalore,6151000,1404,Electronic City Phase 2,2,0,0,1,1,1,1,1,1,1,1,0,0,0
Bangalore,5426000,1080,Begur,2,0,0,1,1,1,1,1,0,1,0,0,0,1
Bangalore,13000000,1800,J. P. Nagar,3,1,0,0,0,0,0,0,0,0,0,0,0,1
Bangalore,4850000,1060,K. Chudahalli,2,0,0,1,0,0,0,1,1,0,1,0,0,1
Bangalore,4604000,1540,Narayanaghatta,3,0,0,1,1,1,1,1,0,1,1,0,0,1
Bangalore,3607000,1110,Anekal City,3,0,0,1,1,1,1,1,1,1,0,0,0,1
Bangalore,16500000,1645,Sahakar Nagar,3,1,0,1,1,1,1,1,1,1,1,0,0,1
Bangalore,4840000,1345,Sarjapur,3,0,0,1,0,1,1,1,0,1,1,0,0,1
Bangalore,25800000,1866,Koramangala,3,0,0,1,1,0,1,1,1,1,1,0,0,1
Bangalore,51000000,3500,Hebbal,3,0,0,1,1,0,1,1,1,1,1,0,0,0
Bangalore,4809000,1145,Electronic City Phase 1,2,0,0,1,1,1,0,1,1,1,0,0,0,1
Bangalore,5070000,935,Budigere Cross,2,0,0,1,1,1,1,0,1,1,1,0,0,1
Bangalore,10500000,1455,Bommanahalli,3,0,1,1,1,1,1,1,1,1,1,1,1,1
Bangalore,6850000,1305,Uttarahalli Hobli,2,0,0,1,0,0,0,0,0,0,0,0,1,1
Bangalore,4580000,1145,Varthur,2,0,0,0,1,0,1,0,0,0,1,0,0,1
Bangalore,5559000,1635,Whitefield Hope Farm Junction,3,0,0,1,1,1,1,1,1,1,0,0,0,1
Bangalore,4723000,1145,RR Nagar,2,0,0,1,0,0,0,1,0,1,1,0,0,1
Bangalore,4465000,1175,Krishnarajapura,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangalore,8954000,1216,Varthur,2,0,0,1,1,1,1,0,1,1,1,0,0,1
Bangalore,4000000,1005,Electronics City,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangalore,5400000,1200,Chikkalasandra,2,1,0,0,0,0,0,0,0,0,0,0,1,0
Bangalore,8784000,1279,Kogilu,2,0,0,1,1,1,1,0,1,1,1,0,0,1
Bangalore,7900000,1180,Nayandahalli,2,0,0,1,1,1,1,1,1,1,1,0,1,1
Bangalore,4781000,1310,Electronic City Phase 2,3,0,1,1,1,1,1,1,1,1,1,0,0,1
Bangalore,15000000,1776,Bilekahalli,3,0,0,1,1,1,1,1,1,1,1,0,0,1
Bangalore,4700000,1125,Horamavu,2,0,0,1,0,0,0,1,0,1,1,0,0,1
Bangalore,7767000,1195,Muneshwara Nagar,3,0,0,1,1,0,0,1,1,0,0,0,0,1
Bangalore,6487000,1272,Thanisandra,2,0,0,1,1,1,1,1,0,1,1,0,0,1
Bangalore,14000000,2170,Junnasandra,3,0,0,1,1,1,1,1,1,1,1,0,0,1
Bangalore,8758000,1510,RR Nagar,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangalore,13100000,1846,Narayanapura on Hennur Main Road,3,0,0,1,1,0,1,0,0,0,0,0,0,0
Bangalore,5500000,1170,Kothanur,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangalore,4900000,1215,Kadugodi Industrial Area,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangalore,4545000,1045,Horamavu,2,0,0,1,0,0,0,1,0,1,0,0,0,1
Bangalore,8779000,1245,Kannur on Thanisandra Main Road,2,0,0,1,1,1,1,1,1,1,1,0,0,1
Bangalore,22000000,1833,ITPL,3,0,0,1,1,1,1,1,1,1,1,0,0,1
Bangalore,5329000,969,Sarjapur Road Wipro To Railway Crossing,2,0,1,1,1,1,1,1,1,1,1,0,0,0
Bangalore,7500000,1100,RMV Extension Stage 2,2,1,0,0,0,0,0,0,0,0,0,0,0,1
Bangalore,3779999,900,Kudlu,2,0,0,1,0,0,0,1,0,1,0,0,0,1
Bangalore,8954000,1216,Varthur,2,0,0,1,1,1,1,0,1,1,1,0,0,1
Bangalore,9000000,1306,Talaghattapura,2,1,0,1,1,0,0,1,0,0,1,0,1,1
Bangalore,25800000,1866,Koramangala,3,0,0,1,1,0,1,1,1,1,1,0,0,1
Bangalore,8954000,1216,Varthur,2,0,0,1,1,1,1,0,1,1,1,0,0,1
Bangalore,13100000,1846,Narayanapura on Hennur Main Road,3,0,0,1,1,0,1,0,0,0,0,0,0,0
Bangalore,8218000,1505,Electronic City Phase 2,3,0,0,1,1,1,1,1,1,1,1,0,0,1
Bangalore,8656000,1502,Jakkur,3,0,0,1,1,1,1,1,1,1,1,0,0,1
Bangalore,7520000,1675,Doddanekundi,3,0,0,0,0,0,0,1,0,0,0,0,0,1
Bangalore,6148000,1083,Kumbalgodu,3,0,0,1,1,1,1,1,1,1,1,0,0,1
Bangalore,11000000,1805,Begur,3,0,0,1,1,1,1,1,1,1,1,0,0,1
Bangalore,11399999,1880,Begur,3,0,0,1,1,1,1,1,1,1,1,0,0,1
Bangalore,13000000,2180,Begur,4,0,0,1,1,1,1,1,1,1,1,0,0,1
Bangalore,11299999,1850,Begur,3,0,0,1,1,1,1,1,1,1,1,0,0,1
Bangalore,4900000,1188,Kannur on Thanisandra Main Road,2,0,0,1,1,1,1,1,0,1,0,0,0,1
Bangalore,5002000,1215,Kannur on Thanisandra Main Road,2,0,0,1,1,1,1,1,0,1,0,0,0,1
Bangalore,5036000,1224,Kannur on Thanisandra Main Road,2,0,0,1,1,1,1,1,0,1,0,0,0,1
Bangalore,6736000,1350,Doddanekundi,2,0,0,0,0,0,0,1,0,0,0,0,0,1
Bangalore,8233000,1650,Doddanekundi,3,0,0,0,0,0,0,1,0,0,0,0,0,1
Bangalore,6761000,1355,Doddanekundi,3,0,0,0,0,0,0,1,0,0,0,0,0,1
Bangalore,6611000,1325,Doddanekundi,2,0,0,0,0,0,0,1,0,0,0,0,0,1
Bangalore,6287000,1260,Doddanekundi,2,0,0,0,0,0,0,1,0,0,0,0,0,1
Bangalore,6437000,1290,Doddanekundi,2,0,0,0,0,0,0,1,0,0,0,0,0,1
Bangalore,6112000,1225,Doddanekundi,2,0,0,0,0,0,0,1,0,0,0,0,0,1
Bangalore,6487000,1300,Doddanekundi,2,0,0,0,0,0,0,1,0,0,0,0,0,1
Bangalore,9412000,1247,Dasarahalli on Tumkur Road,2,0,0,1,1,1,1,0,1,1,1,0,0,1
Bangalore,10500000,1486,Dasarahalli on Tumkur Road,3,0,0,1,1,1,1,0,1,1,1,0,0,1
Bangalore,10200000,1433,Dasarahalli on Tumkur Road,3,0,0,1,1,1,1,0,1,1,1,0,0,1
Bangalore,4722000,1152,Kengeri,2,0,1,1,1,1,1,1,1,1,1,0,0,1
Bangalore,4586000,1119,Kengeri,2,0,1,1,1,1,1,1,1,1,1,0,0,1
Bangalore,4582000,1118,Kengeri,2,0,1,1,1,1,1,1,1,1,1,0,0,1
Bangalore,6787000,1656,Kengeri,3,0,1,1,1,1,1,1,1,1,1,0,0,1
Bangalore,9319000,1629,Horamavu,3,0,0,1,1,1,1,1,1,1,1,0,0,1
Bangalore,6892000,1237,Horamavu,2,0,0,1,1,1,1,1,1,1,1,0,0,1
Bangalore,9277000,1275,Bommanahalli,2,0,1,1,1,1,1,1,1,1,1,0,0,0
Bangalore,11600000,1615,Bommanahalli,3,0,1,1,1,1,1,1,1,1,1,0,0,0
Bangalore,10900000,1515,Bommanahalli,3,0,1,1,1,1,1,1,1,1,1,0,0,0
Bangalore,10500000,1455,Bommanahalli,3,0,1,1,1,1,1,1,1,1,1,0,0,0
Bangalore,9859000,1360,Bommanahalli,3,0,1,1,1,1,1,1,1,1,1,0,0,0
Bangalore,6973999,1409,Ramamurthy Nagar,3,0,0,1,0,0,1,1,0,1,1,0,0,1
Bangalore,5705000,1139,Ramamurthy Nagar,2,0,0,1,0,0,1,1,0,1,1,0,0,1
Bangalore,5772000,1154,Ramamurthy Nagar,2,0,0,1,0,0,1,1,0,1,1,0,0,1
Bangalore,6720999,1353,Ramamurthy Nagar,3,0,0,1,0,0,1,1,0,1,1,0,0,1
Bangalore,6761000,1362,Ramamurthy Nagar,3,0,0,1,0,0,1,1,0,1,1,0,0,1
Bangalore,5677000,1133,Ramamurthy Nagar,2,0,0,1,0,0,1,1,0,1,1,0,0,1
Bangalore,5384000,1068,Ramamurthy Nagar,2,0,0,1,0,0,1,1,0,1,1,0,0,1
Bangalore,9141000,1540,Whitefield Hope Farm Junction,3,0,0,1,1,1,1,1,0,1,0,0,0,0
Bangalore,9522000,1610,Whitefield Hope Farm Junction,3,0,0,1,1,1,1,1,0,1,0,0,0,0
Bangalore,10000000,1715,Whitefield Hope Farm Junction,3,0,0,1,1,1,1,1,0,1,0,0,0,0
Bangalore,7211000,1195,Whitefield Hope Farm Junction,2,0,0,1,1,1,1,1,0,1,0,0,0,0
Bangalore,8514000,1425,Whitefield Hope Farm Junction,3,0,0,1,1,1,1,1,0,1,0,0,0,0
Bangalore,10300000,1760,Whitefield Hope Farm Junction,3,0,0,1,1,1,1,1,0,1,0,0,0,0
Bangalore,7783000,1300,Whitefield Hope Farm Junction,2,0,0,1,1,1,1,1,0,1,0,0,0,0
Bangalore,7429000,1235,Whitefield Hope Farm Junction,2,0,0,1,1,1,1,1,0,1,0,0,0,0
Bangalore,7809999,1305,Whitefield Hope Farm Junction,2,0,0,1,1,1,1,1,0,1,0,0,0,0
Bangalore,3506000,660,Electronic City Phase 1,1,0,1,1,1,1,1,1,1,1,1,0,0,0
Bangalore,6250000,1120,Electronic City Phase 1,2,0,1,1,1,1,1,1,1,1,1,0,0,0
Bangalore,6250000,1120,Electronic City Phase 1,2,0,1,1,1,1,1,1,1,1,1,0,0,0
Bangalore,3797999,715,Electronic City Phase 1,1,0,1,1,1,1,1,1,1,1,1,0,0,0
Bangalore,3797999,715,Electronic City Phase 1,1,0,1,1,1,1,1,1,1,1,1,0,0,0
Bangalore,5034000,910,Electronic City Phase 1,2,0,1,1,1,1,1,1,1,1,1,0,0,0
Bangalore,5034000,910,Electronic City Phase 1,2,0,1,1,1,1,1,1,1,1,1,0,0,0
Bangalore,7897000,1430,Electronic City Phase 1,3,0,1,1,1,1,1,1,1,1,1,0,0,0
Bangalore,7897000,1430,Electronic City Phase 1,3,0,1,1,1,1,1,1,1,1,1,0,0,0
Bangalore,5327000,965,Electronic City Phase 1,2,0,1,1,1,1,1,1,1,1,1,0,0,0
Bangalore,5327000,965,Electronic City Phase 1,2,0,1,1,1,1,1,1,1,1,1,0,0,0
Bangalore,8269000,1500,Electronic City Phase 1,3,0,1,1,1,1,1,1,1,1,1,0,0,0
Bangalore,8269000,1500,Electronic City Phase 1,3,0,1,1,1,1,1,1,1,1,1,0,0,0
Bangalore,5958000,1065,Electronic City Phase 1,2,0,1,1,1,1,1,1,1,1,1,0,0,0
Bangalore,5958000,1065,Electronic City Phase 1,2,0,1,1,1,1,1,1,1,1,1,0,0,0
Bangalore,6900000,1273,Yelahanka,2,0,0,1,1,1,1,0,1,1,1,0,0,1
Bangalore,9700000,1705,Yelahanka,3,0,0,1,1,1,1,0,1,1,1,0,0,1
Bangalore,7300000,1304,Yelahanka,2,0,0,1,1,1,1,0,1,1,1,0,0,1
Bangalore,9180000,1700,Anjanapura,3,0,0,1,1,1,1,1,1,1,1,0,0,1
Bangalore,6986000,1277,Carmelaram,2,0,0,1,1,1,1,1,1,1,0,0,0,1
Bangalore,6081000,1111,Carmelaram,2,0,0,1,1,1,1,1,1,1,0,0,0,1
Bangalore,7891000,1443,Carmelaram,3,0,0,1,1,1,1,1,1,1,0,0,0,1
Bangalore,6070000,1109,Carmelaram,2,0,0,1,1,1,1,1,1,1,0,0,0,1
Bangalore,5961000,1089,Carmelaram,2,0,0,1,1,1,1,1,1,1,0,0,0,1
Bangalore,8442000,1544,Carmelaram,3,0,0,1,1,1,1,1,1,1,0,0,0,1
Bangalore,9003000,1647,Carmelaram,3,0,0,1,1,1,1,1,1,1,0,0,0,1
Bangalore,5923000,1082,Carmelaram,2,0,0,1,1,1,1,1,1,1,0,0,0,1
Bangalore,6174000,1128,Carmelaram,2,0,0,1,1,1,1,1,1,1,0,0,0,1
Bangalore,5994000,1095,Carmelaram,2,0,0,1,1,1,1,1,1,1,0,0,0,1
Bangalore,8180000,1496,Carmelaram,3,0,0,1,1,1,1,1,1,1,0,0,0,1
Bangalore,7662000,1401,Carmelaram,3,0,0,1,1,1,1,1,1,1,0,0,0,1
Bangalore,8763000,1538,Horamavu,3,0,0,1,1,1,1,1,1,1,1,0,0,1
Bangalore,8957000,1573,Horamavu,3,0,0,1,1,1,1,1,1,1,1,0,0,1
Bangalore,6581000,1181,Horamavu,2,0,0,1,1,1,1,1,1,1,1,0,0,1
Bangalore,9640000,1687,Horamavu,3,0,0,1,1,1,1,1,1,1,1,0,0,1
Bangalore,6664000,1196,Horamavu,2,0,0,1,1,1,1,1,1,1,1,0,0,1
Bangalore,6631000,1190,Horamavu,2,0,0,1,1,1,1,1,1,1,1,0,0,1
Bangalore,10000000,1766,Horamavu,3,0,0,1,1,1,1,1,1,1,1,0,0,1
Bangalore,9879000,1730,Horamavu,3,0,0,1,1,1,1,1,1,1,1,0,0,1
Bangalore,8529000,1532,Horamavu,3,0,0,1,1,1,1,1,1,1,1,0,0,1
Bangalore,7252000,1305,Jalahalli,2,0,0,1,1,1,0,0,0,1,0,0,0,0
Bangalore,9037000,1645,Jalahalli,3,0,0,1,1,1,0,0,0,1,0,0,0,0
Bangalore,7298000,1315,Jalahalli,2,0,0,1,1,1,0,0,0,1,0,0,0,0
Bangalore,10400000,1950,Jalahalli,3,0,0,1,1,1,0,0,0,1,0,0,0,0
Bangalore,9520000,1750,Jalahalli,3,0,0,1,1,1,0,0,0,1,0,0,0,0
Bangalore,7229000,1300,Jalahalli,2,0,0,1,1,1,0,0,0,1,0,0,0,0
Bangalore,9887000,1830,Jalahalli,3,0,0,1,1,1,0,0,0,1,0,0,0,0
Bangalore,10300000,1935,Jalahalli,3,0,0,1,1,1,0,0,0,1,0,0,0,0
Bangalore,7159999,1285,Jalahalli,2,0,0,1,1,1,0,0,0,1,0,0,0,0
Bangalore,10700000,2010,Jalahalli,3,0,0,1,1,1,0,0,0,1,0,0,0,0
Bangalore,8900000,1615,Jalahalli,3,0,0,1,1,1,0,0,0,1,0,0,0,0
Bangalore,9382000,1720,Jalahalli,3,0,0,1,1,1,0,0,0,1,0,0,0,0
Bangalore,7344000,1325,Jalahalli,2,0,0,1,1,1,0,0,0,1,0,0,0,0
Bangalore,7091000,1270,Jalahalli,2,0,0,1,1,1,0,0,0,1,0,0,0,0
Bangalore,6279000,1320,Kasavanahalli,3,0,0,1,1,0,0,0,1,0,1,0,0,1
Bangalore,5306000,1100,Kasavanahalli,2,0,0,1,1,0,0,0,1,0,1,0,0,1
Bangalore,6655000,1405,Kasavanahalli,3,0,0,1,1,0,0,0,1,0,1,0,0,1
Bangalore,5195000,1075,Kasavanahalli,2,0,0,1,1,0,0,0,1,0,1,0,0,1
Bangalore,5483000,1140,Kasavanahalli,2,0,0,1,1,0,0,0,1,0,1,0,0,1
Bangalore,5527000,1150,Kasavanahalli,2,0,0,1,1,0,0,0,1,0,1,0,0,1
Bangalore,6412000,1350,Kasavanahalli,3,0,0,1,1,0,0,0,1,0,1,0,0,1
Bangalore,6036000,1265,Kasavanahalli,3,0,0,1,1,0,0,0,1,0,1,0,0,1
Bangalore,4930000,1015,Kasavanahalli,2,0,0,1,1,0,0,0,1,0,1,0,0,1
Bangalore,6611000,1395,Kasavanahalli,3,0,0,1,1,0,0,0,1,0,1,0,0,1
Bangalore,5173000,1070,Kasavanahalli,2,0,0,1,1,0,0,0,1,0,1,0,0,1
Bangalore,6058000,1270,Kasavanahalli,3,0,0,1,1,0,0,0,1,0,1,0,0,1
Bangalore,6279000,1320,Kasavanahalli,3,0,0,1,1,0,0,0,1,0,1,0,0,1
Bangalore,5085000,1050,Kasavanahalli,2,0,0,1,1,0,0,0,1,0,1,0,0,1
Bangalore,6434000,1355,Kasavanahalli,3,0,0,1,1,0,0,0,1,0,1,0,0,1
Bangalore,5262000,1090,Kasavanahalli,2,0,0,1,1,0,0,0,1,0,1,0,0,1
Bangalore,6681999,1485,Whitefield Hope Farm Junction,3,0,0,1,1,1,1,1,0,0,0,0,0,1
Bangalore,6525000,1450,Whitefield Hope Farm Junction,3,0,0,1,1,1,1,1,0,0,0,0,0,1
Bangalore,6997000,1555,Whitefield Hope Farm Junction,3,0,0,1,1,1,1,1,0,0,0,0,0,1
Bangalore,6097000,1355,Whitefield Hope Farm Junction,3,0,0,1,1,1,1,1,0,0,0,0,0,1
Bangalore,6120000,1360,Whitefield Hope Farm Junction,3,0,0,1,1,1,1,1,0,0,0,0,0,1
Bangalore,6142000,1365,Whitefield Hope Farm Junction,3,0,0,1,1,1,1,1,0,0,0,0,0,1
Bangalore,6727000,1495,Whitefield Hope Farm Junction,3,0,0,1,1,1,1,1,0,0,0,0,0,1
Bangalore,6277000,1395,Whitefield Hope Farm Junction,3,0,0,1,1,1,1,1,0,0,0,0,0,1
Bangalore,6750000,1500,Whitefield Hope Farm Junction,3,0,0,1,1,1,1,1,0,0,0,0,0,1
Bangalore,6456999,1435,Whitefield Hope Farm Junction,3,0,0,1,1,1,1,1,0,0,0,0,0,1
Bangalore,5240000,1310,Bommasandra,3,0,0,1,1,1,1,0,0,1,1,0,0,1
Bangalore,4120000,1030,Bommasandra,2,0,0,1,1,1,1,0,0,1,1,0,0,1
Bangalore,7012000,1275,Bellandur,3,0,0,1,1,1,1,1,1,1,1,0,0,1
Bangalore,8195000,1490,Bellandur,3,0,0,1,1,1,1,1,1,1,1,0,0,1
Bangalore,8050000,1706,RR Nagar,3,0,0,1,1,1,1,0,1,0,1,0,0,1
Bangalore,5900000,1258,RR Nagar,2,0,0,1,1,1,1,0,1,0,1,0,0,1
Bangalore,8100000,1723,RR Nagar,3,0,0,1,1,1,1,0,1,0,1,0,0,1
Bangalore,6400000,1369,RR Nagar,2,0,0,1,1,1,1,0,1,0,1,0,0,1
Bangalore,6275000,1335,RR Nagar,2,0,0,1,1,1,1,0,1,0,1,0,0,1
Bangalore,14400000,2000,Whitefield Hope Farm Junction,3,0,0,1,1,1,1,1,1,1,0,0,0,1
Bangalore,13700000,1900,Whitefield Hope Farm Junction,3,0,0,1,1,1,1,1,1,1,0,0,0,1
